,Tempo (ns),Lx (nm),Ly (nm),Lz (nm),Pxx (mN/nm2),s_Pxx (mN/nm2),Pyy (mN/nm2),s_Pyy (mN/nm2),Pzz (mN/nm2),s_Pzz (mN/nm2)
0,0,7.99685,7.99685,25.8332,0.3877818077123398,0.06257382896203,0.6232746211767399,0.0653384527961291,0.0200366687728938,0.0563792842871319
1,2,8.11685,8.11685,25.8332,0.3582997876802885,0.0592742044849774,0.4902190757640796,0.0582487614477766,-0.0919285596754807,0.0531831162873796
2,4,8.23685,8.23685,25.8332,-0.0640220931747939,0.0572255965551642,-0.0170571124255952,0.0588653939613528,-0.0787307717490842,0.0525433859771892
3,6,8.35685,8.35685,25.8332,-0.5862484655620422,0.0536133211372371,-0.7367104091432006,0.0546151355826215,0.0331036006696428,0.0504763933294652
4,8,8.47685,8.47685,25.8332,-1.156995249421932,0.0549531516111493,-1.209362288493018,0.0505364885079304,0.0652997584592491,0.052336142175668
5,10,8.59685,8.59685,25.8332,-1.609799985877404,0.0530584371227649,-1.573090288387134,0.0535638619316959,-0.0511630978880494,0.0498892597514048
6,12,8.71685,8.71685,25.8332,-1.965617406496108,0.0511202648016467,-2.022685027830243,0.0495120296847253,0.0224463622996794,0.0470730330284811
7,14,8.83685,8.83685,25.8332,-2.490968256745078,0.0484900632243511,-2.426511828242331,0.049893782936566,-0.0802376249055631,0.0429509932314716
8,16,8.95685,8.95685,25.8332,-2.768374286558493,0.0472764101104468,-2.703850768349359,0.0440383779651496,0.0668020364268544,0.0441921136848574
9,18,9.07685,9.07685,25.8332,-3.122644266492102,0.0446590133562143,-3.059880205142514,0.0450680296841696,0.0460639300766941,0.0422583771467671
10,20,9.19685,9.19685,25.8332,-3.415398070990729,0.0428051880746599,-3.408535190550595,0.0440974701795572,-0.0568526732629349,0.0396051461756054
11,22,9.31685,9.31685,25.8332,-3.47102255812729,0.0422353920721279,-3.570019186844666,0.0425740169263855,0.0633772236664377,0.0405163492175638
12,24,9.43685,9.43685,25.8332,-3.731939115278731,0.0412222951578504,-3.78397358932864,0.0389697969109357,0.0457145438701923,0.039746655967442
13,26,9.55685,9.55685,25.8332,-3.994955527026099,0.0401588966721192,-4.016159509131755,0.0394209639924457,0.0482861275955815,0.036107283771333
14,28,9.67685,9.67685,25.8332,-4.086868388530219,0.0390274637387888,-4.166301157074176,0.0392805412850674,-0.0374547072630494,0.0369825856728188
15,30,9.79685,9.79685,25.8332,-4.278633281195628,0.0360708157632688,-4.356422670040637,0.0371059484906743,0.0515542050995879,0.0352549390506996
16,32,9.91685,9.91685,25.8332,-4.379342007099931,0.0379114316786945,-4.424237758562271,0.0370521781342227,0.0485809698489011,0.0341905631514778
17,34,10.03685,10.03685,25.8332,-4.555673558814103,0.0372385831977741,-4.568446640584937,0.0378709968940282,0.0305903292496565,0.0322345275512144
18,36,10.15685,10.15685,25.8332,-4.632039305016598,0.0347131666997415,-4.702228358928571,0.0371496165096622,0.0386458504807692,0.0312682453719712
19,38,10.27685,10.27685,25.8332,-4.758220193984662,0.0342993874116318,-4.773644780314217,0.0348393585888953,0.016827746597413,0.0347421744804564
20,40,10.39685,10.39685,25.8332,-4.874629570833334,0.0348123063483431,-4.815802772378664,0.0330601126350399,-0.002451483058608,0.0304717938055735
21,42,10.51685,10.51685,25.8332,-4.966847543117559,0.0344113103235492,-4.969614175580929,0.032150835603287,0.0376787601133241,0.0298514724647343
22,44,10.63685,10.63685,25.8332,-5.024614965361722,0.0321982289725982,-5.104188495009158,0.0328651288306962,0.0007859802512591,0.0279657057515323
23,46,10.75685,10.75685,25.8332,-5.125519165653617,0.0301213593853516,-5.17747485729739,0.0309682982754428,0.0090947612265338,0.0294028373639971
24,48,10.87685,10.87685,25.8332,-5.256301308138736,0.0330550196284641,-5.212425778288119,0.0296757068264698,0.013718120733173,0.0286904592005468
25,50,10.99685,10.99685,25.8332,-5.301702470515683,0.0293850405082693,-5.317099716008472,0.0293344375629984,0.0255518934294871,0.0280152223158971
26,52,11.11685,11.11685,25.8332,-5.355554623766598,0.0292408864602351,-5.360497300941507,0.0285458532545447,-0.0542863018257783,0.0269051694863068
27,54,11.23685,11.23685,25.8332,-5.422686625646749,0.0300729788213619,-5.435878266560784,0.0296799243027371,0.0523363437728937,0.0263260244637739
28,56,11.35685,11.35685,25.8332,-5.491904935319369,0.0284493445883044,-5.459080342370651,0.0283317400960309,0.0190046042983058,0.0258185534001022
29,58,11.47685,11.47685,25.8332,-5.547122627904648,0.0269190896267143,-5.591376406951122,0.0265678474089701,-0.0256516077667124,0.0261687168859791
30,60,11.59685,11.59685,25.8332,-5.520448506513278,0.027102180796085,-5.531973948197115,0.0256617768312568,-0.0172529138621794,0.024969445743809
31,62,11.71685,11.71685,25.8332,-5.585343758321887,0.0273488673609891,-5.590696873251488,0.024819070700918,0.0189708935267857,0.0247052213579945
